# values taken from L1-L2 optical alignment report, p.16 (couldn't locate raw data or spreadsheet containing these numbers, so reading off of pptx image)
# L1 SMRs
# LABEL X Y Z
SPHERE_3_L2_Cell_SMR3_OASMCCS  633.359  169.161 -462.384
SPHERE_4_L2_Cell_SMR4_OASMCCS  633.321 -170.605 -462.285
SPHERE_5_L2_Cell_SMR5_OASMCCS  462.828 -464.564 -462.483
SPHERE_6_L2_Cell_SMR6_OASMCCS  169.117 -634.150 -462.197
SPHERE_7_L2_Cell_SMR7_OASMCCS -169.879 -633.699 -462.348
SPHERE_8_L2_Cell_SMR8_OASMCCS -464.141 -463.891 -462.445
SPHERE_9_L2_Cell_SMR9_OASMCCS -633.972 -169.392 -462.204
SPHERE_10_L2_Cell_SMR10_OASMCCS -634.133  169.811 -462.439
SPHERE_11_L2_Cell_SMR11_OASMCCS -464.231  463.728 -462.679
SPHERE_12_L2_Cell_SMR12_OASMCCS -169.520  633.486 -462.989
SPHERE_1_L2_SMR1_OASMCCS          568.102    0.073 -377.237
SPHERE_2_L2_SMR2_OASMCCS          364.914  435.238 -377.194
SPHERE_3_L2_SMR3_OASMCCS           -0.459  568.074 -377.243
SPHERE_4_L2_SMR4_OASMCCS         -465.567  325.506 -377.199
SPHERE_5_L2_SMR5_OASMCCS         -514.715 -240.631 -377.137
SPHERE_6_L2_SMR6_OASMCCS            0.231 -568.474 -377.217
SPHERE_7_L2_SMR7_OASMCCS          284.236 -492.217 -377.303
#
# BALL SER 2560710 SMR wrt L1S1 Optical Coordinate Frame: L1-L2 optical alignment report, p.15 (couldn't locate raw data or spreadsheet containing these numbers, so reading off of pptx image)
SPHERE_1_L1_Cell_SMR1_BS2560710     193.098  720.650  398.743
SPHERE_2_L1_Cell_SMR2_BS2560710     527.444  527.486  398.813
SPHERE_3_L1_Cell_SMR3_BS2560710     720.581  193.058  398.730
SPHERE_4_L1_Cell_SMR4_BS2560710     720.530 -193.094  398.615
SPHERE_5_L1_Cell_SMR5_BS2560710     527.513 -527.491  398.666
SPHERE_6_L1_Cell_SMR6_BS2560710     193.250 -720.580  398.513
SPHERE_7_L1_Cell_SMR7_BS2560710    -192.962 -720.091  398.530
SPHERE_8_L1_Cell_SMR8_BS2560710    -527.495 -527.566  398.163
SPHERE_9_L1_Cell_SMR9_BS2560710    -720.229 -192.978  398.444
SPHERE_10_L1_Cell_SMR10_BS2560710  -720.647  193.096  398.670
SPHERE_11_L1_Cell_SMR11_BS2560710  -527.593  527.686  398.530
SPHERE_12_L1_Cell_SMR12_BS2560710  -193.133  720.635  398.622
# BALL SER 25355889 SMR wrt L2S2 Optical Coordinate Frame: L1-L2 optical alignment report, p.15 (couldn't locate raw data or spreadsheet containing these numbers, so reading off of pptx image)
SPHERE_1_L2_Cell_SMR1_BS2535589     169.618  633.254 -28.703
SPHERE_2_L2_Cell_SMR2_BS2535589     464.208  463.199 -28.000
SPHERE_3_L2_Cell_SMR3_BS2535589     633.298  169.191 -28.365
SPHERE_4_L2_Cell_SMR4_BS2535589     633.260 -170.575 -28.266
SPHERE_5_L2_Cell_SMR5_BS2535589     462.767 -464.534 -28.464
SPHERE_6_L2_Cell_SMR6_BS2535589     169.056 -634.120 -28.178
SPHERE_7_L2_Cell_SMR7_BS2535589    -169.940 -633.669 -28.329
SPHERE_8_L2_Cell_SMR8_BS2535589    -464.202 -463.861 -28.426
SPHERE_9_L2_Cell_SMR9_BS2535589    -634.033 -169.362 -28.185
SPHERE_10_L2_Cell_SMR10_BS2535589  -634.194  169.841 -28.420
SPHERE_11_L2_Cell_SMR11_BS2535589  -464.292  463.758 -28.660
SPHERE_12_L2_Cell_SMR12_BS2535589  -169.581  633.516 -28.970
SPHERE_1_L2_SMR1_BS2535589          568.041    0.103  56.782
SPHERE_2_L2_SMR2_BS2535589          364.853  435.278  56.825
SPHERE_3_L2_SMR3_BS2535589           -0.520  568.104  56.776
SPHERE_4_L2_SMR4_BS2535589         -465.628  325.536  56.820
SPHERE_5_L2_SMR5_BS2535589         -514.776 -240.601  56.882
SPHERE_6_L2_SMR6_BS2535589            0.170 -568.444  56.802
SPHERE_7_L2_SMR7_BS2535589          284.175 -492.187  56.716
# L1 optical vertices wrt L1S1 optical coordinate frame (L1S1=[0,0,0], L1S2=[0,0,82.3])
